experiment,environment,env_label,aggregator,agg_label,attack,seed,n_clients,n_byzantine,byz_fraction,reward_mean,reward_std,eval_return_mean,eval_return_std,comm_cost,time_per_round,convergence_round,trust_tpr,trust_fpr,trust_mean_honest,trust_mean_byzantine
simple_adversary_v3_fedavg_adaptive_strategic_n6_b3_r200_s1024,simple_adversary_v3,Adversary,fedavg,FedAvg,adaptive_strategic,1024,6,3,0.5,-0.8554248593748403,0.0313453386319225,-20.169071581855917,0.33740660452682,1.1638731672180467,2.7236210107803345,10.0,,,,
simple_adversary_v3_fedavg_adaptive_strategic_n6_b3_r200_s123,simple_adversary_v3,Adversary,fedavg,FedAvg,adaptive_strategic,123,6,3,0.5,-0.8254932849338777,0.034820491659997115,-17.324556540642156,0.19951478250064286,0.8885391261186465,4.562341785430908,45.0,,,,
simple_adversary_v3_fedavg_adaptive_strategic_n6_b3_r200_s42,simple_adversary_v3,Adversary,fedavg,FedAvg,adaptive_strategic,42,6,3,0.5,-0.8580819131332067,0.02452475900002019,-16.09136533599445,0.5636875591831242,1.1696371665209473,4.719660890102387,40.0,,,,
simple_adversary_v3_fedavg_adaptive_strategic_n6_b3_r200_s456,simple_adversary_v3,Adversary,fedavg,FedAvg,adaptive_strategic,456,6,3,0.5,-0.8679082213820412,0.03105693467536886,-18.679941264666994,0.5587998243526059,1.012913033415869,2.7914554953575133,20.0,,,,
simple_adversary_v3_fedavg_adaptive_strategic_n6_b3_r200_s789,simple_adversary_v3,Adversary,fedavg,FedAvg,adaptive_strategic,789,6,3,0.5,-0.8029152785819125,0.03189838390258641,-17.57563885193373,0.43713170171451776,1.0477666150105267,2.8030061960220336,40.0,,,,
simple_adversary_v3_fedavg_none_n6_b0_r200_s1024,simple_adversary_v3,Adversary,fedavg,FedAvg,none,1024,6,0,0.0,-0.6571198043029185,0.016707754933339758,-14.10470261904536,0.07152491720033163,0.628612678779896,1.5766268253326416,40.0,,,,
simple_adversary_v3_fedavg_none_n6_b0_r200_s123,simple_adversary_v3,Adversary,fedavg,FedAvg,none,123,6,0,0.0,-0.6616516532374163,0.012986465825788501,-14.950973539633498,0.08002424156526419,0.6168108753939656,4.701673555374145,40.0,,,,
simple_adversary_v3_fedavg_none_n6_b0_r200_s42,simple_adversary_v3,Adversary,fedavg,FedAvg,none,42,6,0,0.0,-0.6605614692172875,0.01532886246584177,-15.475740586942804,0.18403353256761887,0.6799783715591782,4.728409087657928,40.0,,,,
simple_adversary_v3_fedavg_none_n6_b0_r200_s456,simple_adversary_v3,Adversary,fedavg,FedAvg,none,456,6,0,0.0,-0.6624444148608127,0.020561745491912118,-14.13275085280629,0.28441783183244146,0.5893439696079754,3.2409507870674132,40.0,,,,
simple_adversary_v3_fedavg_none_n6_b0_r200_s789,simple_adversary_v3,Adversary,fedavg,FedAvg,none,789,6,0,0.0,-0.6646372315552618,0.01807746051720437,-15.071931549266168,0.1609039498060048,0.5852813310947456,1.616421604156494,40.0,,,,
simple_adversary_v3_fedavg_normalized_n6_b3_r200_s1024,simple_adversary_v3,Adversary,fedavg,FedAvg,normalized,1024,6,3,0.5,-1.1234525808598723,0.03972124356317816,-23.22117551527724,0.057145395135210254,1.6513405309897213,2.7975088477134706,40.0,,,,
simple_adversary_v3_fedavg_normalized_n6_b3_r200_s123,simple_adversary_v3,Adversary,fedavg,FedAvg,normalized,123,6,3,0.5,-1.1376794252825486,0.05093394731481773,-21.758954780545373,0.028524869892814102,1.6183797813150658,4.626821982860565,40.0,,,,
simple_adversary_v3_fedavg_normalized_n6_b3_r200_s42,simple_adversary_v3,Adversary,fedavg,FedAvg,normalized,42,6,3,0.5,-1.1286168324035253,0.04038159388489451,-22.4469026490913,0.06269305010670546,1.5798183858160715,4.777552080154419,40.0,,,,
simple_adversary_v3_fedavg_normalized_n6_b3_r200_s456,simple_adversary_v3,Adversary,fedavg,FedAvg,normalized,456,6,3,0.5,-1.1036692506079544,0.042756832511891975,-22.10601882850643,0.06908337964738419,1.597844190401552,2.6168959021568297,40.0,,,,
simple_adversary_v3_fedavg_normalized_n6_b3_r200_s789,simple_adversary_v3,Adversary,fedavg,FedAvg,normalized,789,6,3,0.5,-1.1155328527345287,0.06256433262004811,-22.430161556825688,0.04876695839704006,1.5914535645042003,2.8513938784599304,40.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b1_r200_s1024,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,1024,6,1,0.16666666666666666,-0.6786072354690702,0.014741709158197893,-14.874105030402927,0.10600380043331488,0.6418344288002659,2.7769584536552427,40.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b1_r200_s123,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,123,6,1,0.16666666666666666,-0.6649931986362002,0.023841799611558977,-14.46243189029499,0.18633962048037683,0.6471484801040156,4.715868031978607,40.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b1_r200_s42,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,42,6,1,0.16666666666666666,-0.6774017152687982,0.022043988911681172,-16.575482250134662,0.24735157339302977,0.6787798786676442,4.732944202423096,50.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b1_r200_s456,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,456,6,1,0.16666666666666666,-0.6764202528618994,0.02317267608670927,-14.09598895517903,0.14234616742506995,0.6303647356340568,3.1930201649665833,40.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b1_r200_s789,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,789,6,1,0.16666666666666666,-0.6651608013713364,0.021069816980708478,-14.88728411252247,0.17143901418513324,0.6211133144519265,2.8663174867630006,40.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b3_r200_s1024,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,1024,6,3,0.5,-1.1899553361659447,0.05128018645044008,-29.5371286749806,0.3483277438293772,1.5853827210840419,2.8449097871780396,0.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b3_r200_s123,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,123,6,3,0.5,-1.2060279599765609,0.05351190422706047,-23.264471605864383,0.24261413218833394,1.5137077561465309,4.679533040523529,0.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b3_r200_s42,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,42,6,3,0.5,-1.2274420230354306,0.048247697012989574,-23.599838380911446,0.6833411464592708,1.6258803429770907,4.739820337295532,50.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b3_r200_s456,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,456,6,3,0.5,-1.1348603350798203,0.04496977964821522,-23.556066646214763,0.4134142004476626,1.6097797023431184,3.2753140330314636,5.0,,,,
simple_adversary_v3_fedavg_sign_flip_n6_b3_r200_s789,simple_adversary_v3,Adversary,fedavg,FedAvg,sign_flip,789,6,3,0.5,-1.181483199612051,0.056290311655911064,-22.339654998295792,0.12255769513001522,1.5607947688454875,2.764258098602295,40.0,,,,
simple_adversary_v3_flame_adaptive_strategic_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame,FLAME,adaptive_strategic,1024,6,3,0.5,-0.8120518066249176,0.03357530785387446,-17.11914070946808,0.3289533707311183,0.9162531608264288,1.5997440099716187,40.0,,,,
simple_adversary_v3_flame_adaptive_strategic_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame,FLAME,adaptive_strategic,123,6,3,0.5,-0.7694660251266122,0.023107706477300545,-17.772662579241818,0.14353463290355298,0.8401616938370378,4.697287583351136,95.0,,,,
simple_adversary_v3_flame_adaptive_strategic_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame,FLAME,adaptive_strategic,42,6,3,0.5,-0.8085320172339377,0.03412773721070709,-16.952861353825423,0.4871790929281679,0.7445301986829788,4.741950237751007,120.0,,,,
simple_adversary_v3_flame_adaptive_strategic_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame,FLAME,adaptive_strategic,456,6,3,0.5,-0.9080874293715191,0.030293371498440982,-17.382694420269505,0.6809912369631328,0.7805594118135033,2.9613757491111756,145.0,,,,
simple_adversary_v3_flame_adaptive_strategic_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame,FLAME,adaptive_strategic,789,6,3,0.5,-0.7822291001459034,0.028240722393536668,-14.514037433923997,0.4279550537539285,0.8332983099748466,1.5860494375228882,40.0,,,,
simple_adversary_v3_flame_hdbscan_adaptive_strategic_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,adaptive_strategic,1024,6,3,0.5,-0.7998133911977101,0.028366855295331322,-19.080455148782168,0.23860680244661855,0.9062918777832225,1.565245258808136,35.0,,,,
simple_adversary_v3_flame_hdbscan_adaptive_strategic_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,adaptive_strategic,123,6,3,0.5,-0.7993392628752461,0.02731614386794316,-18.187472155213314,0.5945914267898195,0.824481567490289,1.5843101263046264,20.0,,,,
simple_adversary_v3_flame_hdbscan_adaptive_strategic_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,adaptive_strategic,42,6,3,0.5,-0.7491396206609908,0.02189603966813964,-16.13369424424878,0.44747780192118786,0.8506506456424073,1.6008121013641357,40.0,,,,
simple_adversary_v3_flame_hdbscan_adaptive_strategic_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,adaptive_strategic,456,6,3,0.5,-0.79922726889804,0.033371200300609354,-15.733459355369597,0.3250902252608703,0.8227241296268598,1.576459288597107,40.0,,,,
simple_adversary_v3_flame_hdbscan_adaptive_strategic_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,adaptive_strategic,789,6,3,0.5,-0.7591632689164685,0.018224291908467184,-16.031422123962937,0.18600604630278159,0.8403256074107958,1.5884415268898011,40.0,,,,
simple_adversary_v3_flame_hdbscan_none_n6_b0_r200_s1024,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,none,1024,6,0,0.0,-0.6583247867717472,0.02166739799933042,-14.442275922891127,0.16444497779023806,0.6154864262824722,1.5830491662025452,40.0,,,,
simple_adversary_v3_flame_hdbscan_none_n6_b0_r200_s123,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,none,123,6,0,0.0,-0.6542970237879875,0.015186957115997888,-14.48010293846799,0.2376261438444341,0.5695361514389666,1.5957562685012818,40.0,,,,
simple_adversary_v3_flame_hdbscan_none_n6_b0_r200_s42,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,none,42,6,0,0.0,-0.6584827152506988,0.01866122623049045,-15.941557884963968,0.13781788055308444,0.6333496271163834,1.590425717830658,40.0,,,,
simple_adversary_v3_flame_hdbscan_none_n6_b0_r200_s456,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,none,456,6,0,0.0,-0.663060630696955,0.01960917817508181,-13.636999471510412,0.08566555081329597,0.6416793545025319,1.5938785195350647,40.0,,,,
simple_adversary_v3_flame_hdbscan_none_n6_b0_r200_s789,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,none,789,6,0,0.0,-0.6555471210420539,0.021531835229625852,-13.922204004618493,0.08605875172184756,0.5651638118972688,1.6002634406089782,40.0,,,,
simple_adversary_v3_flame_hdbscan_normalized_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,normalized,1024,6,3,0.5,-0.662570271343143,0.02244792344519786,-14.048544767897308,0.20899784735396604,0.4965116599536354,1.620190477371216,40.0,,,,
simple_adversary_v3_flame_hdbscan_normalized_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,normalized,123,6,3,0.5,-0.6641971776982861,0.020553896642446993,-15.7789619112174,0.13125429294216398,0.5151343839002076,1.6014187574386596,40.0,,,,
simple_adversary_v3_flame_hdbscan_normalized_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,normalized,42,6,3,0.5,-0.6651783506114419,0.019752202632696166,-15.907810096912733,0.22902345438971386,0.511733751004516,1.5717373132705688,40.0,,,,
simple_adversary_v3_flame_hdbscan_normalized_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,normalized,456,6,3,0.5,-0.665459685745925,0.023225862796734158,-14.5140435681856,0.22802108516385095,0.5051317240780265,1.6243526339530945,45.0,,,,
simple_adversary_v3_flame_hdbscan_normalized_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,normalized,789,6,3,0.5,-0.6642766516232531,0.024527323684256364,-15.245075814539682,0.14107830795904625,0.469507155306723,1.5927278995513916,50.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b1_r200_s1024,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,1024,6,1,0.16666666666666666,-0.6724562614045614,0.022433494843591216,-13.940072062783745,0.07683973721414972,0.6796098032421005,1.6175456523895264,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b1_r200_s123,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,123,6,1,0.16666666666666666,-0.6760891985180276,0.014257136069434089,-15.772434567986654,0.35033738561130245,0.6415127731995917,1.6083567261695861,125.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b1_r200_s42,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,42,6,1,0.16666666666666666,-0.6610994727993676,0.021499087048411962,-15.243688592903206,0.09997037594809688,0.7161972547788202,1.5691478371620178,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b1_r200_s456,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,456,6,1,0.16666666666666666,-0.6680137889143425,0.026579780597010223,-15.030269097186075,0.13549192058531867,0.653293738914728,1.5825507044792175,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b1_r200_s789,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,789,6,1,0.16666666666666666,-0.6656549052448828,0.02187659955697668,-15.51143622638431,0.09450493800841604,0.6271600421095884,1.578628134727478,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,1024,6,3,0.5,-0.8455441311791168,0.0403586304055414,-16.52794362991548,0.22637401744207372,0.8444699914888755,1.6092544078826905,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,123,6,3,0.5,-0.8866151944579149,0.04267507805874309,-19.918481874609128,0.5752809565698133,0.8588694925741539,1.5825801491737366,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,42,6,3,0.5,-0.9395920801021184,0.03201814206867295,-17.066845868530987,0.16695969373163952,0.7245190847249454,1.5975625872612,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,456,6,3,0.5,-0.8751342026164588,0.03716076787547073,-16.99870268938019,0.0856612275432863,0.8115513577714116,1.5868560194969177,40.0,,,,
simple_adversary_v3_flame_hdbscan_sign_flip_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame_hdbscan,FLAME*,sign_flip,789,6,3,0.5,-0.8009166235769852,0.028166730432557616,-15.889434970092402,0.28037242757631137,0.8383837273015124,1.621715748310089,40.0,,,,
simple_adversary_v3_flame_none_n6_b0_r200_s1024,simple_adversary_v3,Adversary,flame,FLAME,none,1024,6,0,0.0,-0.6649079266380375,0.017640816491461198,-14.735784569436895,0.07006098520453798,0.643736226060297,1.5671231269836425,105.0,,,,
simple_adversary_v3_flame_none_n6_b0_r200_s123,simple_adversary_v3,Adversary,flame,FLAME,none,123,6,0,0.0,-0.6620195750303538,0.019882766412871306,-16.562338134258038,0.11051295602516231,0.6496680545274165,4.683753323554993,35.0,,,,
simple_adversary_v3_flame_none_n6_b0_r200_s42,simple_adversary_v3,Adversary,flame,FLAME,none,42,6,0,0.0,-0.6644317194073649,0.024831935271135825,-15.102667018131335,0.17096162556519126,0.5923958249964715,4.773867237567901,40.0,,,,
simple_adversary_v3_flame_none_n6_b0_r200_s456,simple_adversary_v3,Adversary,flame,FLAME,none,456,6,0,0.0,-0.6606814753092034,0.019243190787678378,-15.086376318255809,0.11176169828325785,0.6444668565991141,2.9318034291267394,45.0,,,,
simple_adversary_v3_flame_none_n6_b0_r200_s789,simple_adversary_v3,Adversary,flame,FLAME,none,789,6,0,0.0,-0.6640581276042875,0.024126824402801714,-14.649515664028119,0.12062426794942512,0.6833539444832936,1.5607999563217163,40.0,,,,
simple_adversary_v3_flame_normalized_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame,FLAME,normalized,1024,6,3,0.5,-1.3348987177546614,0.059655556080180985,-42.1390434003128,0.9494300863144335,0.5937141777254841,1.5703582644462586,0.0,,,,
simple_adversary_v3_flame_normalized_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame,FLAME,normalized,123,6,3,0.5,-1.6631995742749837,0.05339632260616416,-54.67148823620639,0.374803054114557,0.7494212745618422,4.7292224049568174,0.0,,,,
simple_adversary_v3_flame_normalized_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame,FLAME,normalized,42,6,3,0.5,-1.5038987065910647,0.06880517833339454,-41.30908955761774,0.86998440770235,0.7256092633206317,4.759541058540345,0.0,,,,
simple_adversary_v3_flame_normalized_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame,FLAME,normalized,456,6,3,0.5,-1.221975537947396,0.03861338716970947,-28.30689795324101,0.5759193041007005,0.538815691803741,2.945997881889343,0.0,,,,
simple_adversary_v3_flame_normalized_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame,FLAME,normalized,789,6,3,0.5,-1.367833356840451,0.04049634931220712,-29.382441426865615,0.14933969300844624,0.7074084399832498,1.5636125326156616,0.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b1_r200_s1024,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,1024,6,1,0.16666666666666666,-0.6789161367364189,0.01984932802420882,-14.980385784366188,0.11065860158243783,0.6750325778571974,1.6130521297454834,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b1_r200_s123,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,123,6,1,0.16666666666666666,-0.6758953235517029,0.014016633671931466,-14.196917804785425,0.2305433951112778,0.6340459677009908,4.700929057598114,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b1_r200_s42,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,42,6,1,0.16666666666666666,-0.6736303895609861,0.017210567623043356,-14.969907328787686,0.08340641459649957,0.6837622948570176,4.715078675746918,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b1_r200_s456,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,456,6,1,0.16666666666666666,-0.6644121854771428,0.015672256732221192,-14.534962479875425,0.21291648558438953,0.6460921700319022,2.9397691607475283,65.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b1_r200_s789,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,789,6,1,0.16666666666666666,-0.667312863368063,0.021322474088741807,-14.8845118863243,0.08575934600454874,0.6299493574854882,1.5797951579093934,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b3_r200_s1024,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,1024,6,3,0.5,-0.953380117082283,0.04312124858299436,-21.03066648674941,0.312701060643304,0.809737386523292,1.5586004972457885,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b3_r200_s123,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,123,6,3,0.5,-0.9475343929040708,0.032753576142128066,-21.020942255049043,0.09826705470735303,0.8764739096929614,4.709980046749115,40.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b3_r200_s42,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,42,6,3,0.5,-0.934318612128702,0.04035793106574086,-21.273545045280137,0.535742641111211,0.8255884233581995,4.696605896949768,5.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b3_r200_s456,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,456,6,3,0.5,-0.9174829410851816,0.0370446861980745,-18.163138354129053,0.7854721739778516,0.9174638105356554,2.9453450441360474,55.0,,,,
simple_adversary_v3_flame_sign_flip_n6_b3_r200_s789,simple_adversary_v3,Adversary,flame,FLAME,sign_flip,789,6,3,0.5,-0.8971367154076646,0.03948332408607214,-20.350032540460443,0.7351988286460626,0.9469084042732892,1.5746655344963074,100.0,,,,
simple_adversary_v3_fltrust_adaptive_strategic_n6_b3_r200_s1024,simple_adversary_v3,Adversary,fltrust,FLTrust,adaptive_strategic,1024,6,3,0.5,-0.9343953261662528,0.026638755601683807,-20.027022023529003,0.2075656187008168,0.9473832539052834,1.5919198870658875,15.0,,,,
simple_adversary_v3_fltrust_adaptive_strategic_n6_b3_r200_s123,simple_adversary_v3,Adversary,fltrust,FLTrust,adaptive_strategic,123,6,3,0.5,-0.9407255990348794,0.034496465984776466,-20.76801322793452,0.09169710559982466,0.871050831352921,4.748495161533356,15.0,,,,
simple_adversary_v3_fltrust_adaptive_strategic_n6_b3_r200_s42,simple_adversary_v3,Adversary,fltrust,FLTrust,adaptive_strategic,42,6,3,0.5,-0.9488235816130794,0.04597287773385414,-20.407578300598175,0.17406499742142423,1.1412611401457133,4.740126037597657,20.0,,,,
simple_adversary_v3_fltrust_adaptive_strategic_n6_b3_r200_s456,simple_adversary_v3,Adversary,fltrust,FLTrust,adaptive_strategic,456,6,3,0.5,-0.9249471227775713,0.02943010181984434,-19.16082916410788,0.24478479036840123,1.238077377954877,2.7129871606826783,25.0,,,,
simple_adversary_v3_fltrust_adaptive_strategic_n6_b3_r200_s789,simple_adversary_v3,Adversary,fltrust,FLTrust,adaptive_strategic,789,6,3,0.5,-0.9634436230792817,0.03688812944674175,-20.348533844862335,0.1849739632176475,1.0298533773994731,1.6144517540931702,100.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s1024,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,1024,6,3,0.5,-0.9281814132786066,0.025650424074332892,-21.385599792280864,0.3594199288758224,1.6071223060873774,1.6106186389923096,40.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s123,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,123,6,3,0.5,-0.9229951519531243,0.034182922991574625,-23.113146785986665,0.1680904636210833,1.519489236619196,1.568759274482727,5.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s16384,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,16384,6,3,0.5,-1.0845014907782973,0.05106605832602466,-28.224159158250124,0.19730647664845696,1.5429787816109812,1.5800446391105651,0.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s2024,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,2024,6,3,0.5,-0.8950238998508677,0.036783865647191195,-17.006417418972983,0.2981061806121052,1.5491281905457828,1.5788634181022645,40.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s32768,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,32768,6,3,0.5,-0.9610928914007969,0.025671429283685637,-21.8241564878062,0.1027960683313977,1.5637701181805026,1.5609717845916748,40.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s4096,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,4096,6,3,0.5,-0.9779457335627317,0.034335827716749416,-20.855498903113983,0.2326866759371408,1.580727109545934,1.566840398311615,40.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s42,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,42,6,3,0.5,-1.065540326438582,0.04543163435791707,-25.36937972826437,0.07538308715241622,1.4933053269489887,1.6143051266670227,0.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s456,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,456,6,3,0.5,-0.9350014918821458,0.04561579675061311,-18.375703288875197,0.1413584783000938,1.4742786338660754,1.579157030582428,40.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s789,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,789,6,3,0.5,-0.9425386147576292,0.024110836406940228,-26.00839175097108,0.41540209404658335,1.4334738981560384,1.5719233870506286,0.0,,,,
simple_adversary_v3_fltrust_lagged_adaptive_strategic_n6_b3_r200_s8192,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,adaptive_strategic,8192,6,3,0.5,-0.9777736867561673,0.02687769980707012,-22.47880245717643,0.11927979432164991,1.5783363151020415,1.5720646619796752,40.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s1024,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,1024,6,0,0.0,-0.9907466464046877,0.028751602047849576,-24.965592835069806,0.2215387948351006,1.38730813339307,1.6093908548355103,0.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s123,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,123,6,0,0.0,-2.188708344228552,0.07990664858975924,-51.05233126414017,0.0,1.2455790267988973,1.5931706786155702,0.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s16384,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,16384,6,0,0.0,-0.9172525400544984,0.036211266492762684,-21.70340231761845,0.2018998754480688,1.478375588424044,1.5681861162185669,40.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s2024,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,2024,6,0,0.0,-1.2601149087051158,0.03739618819189105,-29.967922102224307,0.8999107944439265,1.3073004622728708,1.618959903717041,0.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s32768,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,32768,6,0,0.0,-1.1488119534358792,0.040788341607745825,-22.179106639863715,0.0,1.502590924185197,1.5850099205970765,40.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s4096,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,4096,6,0,0.0,-2.223948371993549,0.045726712213490804,-58.14263683745901,0.0,1.268866795069899,1.5717235684394837,0.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s42,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,42,6,0,0.0,-2.109038586929602,0.048825643111938856,-49.74035606614841,0.9395946175299228,1.110515561364657,1.5878440022468567,0.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s456,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,456,6,0,0.0,-1.0730677834690832,0.039365686966498545,-21.592835156480774,0.14143910684823427,1.403155923932434,1.5977229714393615,45.0,,,,
simple_adversary_v3_fltrust_lagged_none_n6_b0_r200_s789,simple_adversary_v3,Adversary,fltrust_lagged,FLTrust*,none,789,6,0,0.0,-1.401885786723968,0.04712800671803458,-31.856498348905582,0.7011585881632059,1.392948030801589,1.5664971470832825,0.0,,,,
